id_client,nom,type_client,ville,region,telephone,email,date_creation,segment,conditions_paiement,plafond_credit
1,SARL k,Entreprise,Koudougou,Centre-Ouest,+226 78 62 21 81 98,,2022-03-15,Argent,30 j,0
2,Menage 00002,Particulier,,Centre,+226 72 32 78 14 26,,2016-04-26,Argent,Comptant,0
3,Menage 00003,Particulier,Ouagadougou,Centre,+226 77 76 25 98 96,,2023-05-21,Argent,30 j,0
4,SARL o,Professionnel,Ouagadougou,Centre,+226 76 77 61 88 37,contact4@outlook.fr,2023-06-16,Argent,30 j,0
5,Menage 00005,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 74 90 59 32 10,,2017-07-06,Standard,Comptant,0
6,Menage 00006,Particulier,Ziniaré,Plateau-Central,+226 75 57 93 87 66,,2025-09-25,Argent,Comptant,500000
7,Societe a,Professionnel,Ouagadougou,Centre,+226 76 20 87 99 24,contact7@entreprise.bf,2020-04-29,Standard,30 j,500000
8,Menage 00008,Particulier,Ouagadougou,Centre,+226 77 23 28 95 41,,2016-12-29,Argent,Comptant,250000
9,Menage 00009,Particulier,Ouagadougou,Centre,+226 75 37 51 80 29,,2019-03-11,Argent,Comptant,0
10,Chantiers n,Professionnel,Koudougou,Centre-Ouest,+226 71 66 45 25 82,contact10@gmail.com,2020-08-18,Or,Comptant,250000
11,SARL r,Professionnel,Ouagadougou,Centre,+226 77 87 17 28 43,,2021-07-01,Standard,60 j,250000
12,Ets Z,Professionnel,Ziniaré,Plateau-Central,+226 77 19 68 20 76,contact12@entreprise.bf,2018-11-22,Standard,60 j,500000
13,SARL p,Professionnel,Ziniaré,Plateau-Central,+226 75 86 97 86 71,,2025-07-03,Or,Comptant,250000
14,Menage 00014,Particulier,Ouagadougou,Centre,+226 79 12 48 86 36,,2022-06-12,Standard,30 j,250000
15,SARL g,Administration,Ziniaré,Plateau-Central,+226 75 89 39 97 42,,2021-02-09,Argent,Comptant,0
16,Chantiers S,Professionnel,Ouagadougou,Centre,+226 79 30 38 11 59,contact16@entreprise.bf,2024-10-17,Standard,Comptant,0
17,Menage 00017,Particulier,Ouagadougou,Centre,+226 76 80 96 74 24,,2026-03-18,Standard,Comptant,0
18,Menage 00018,Particulier,Kaya,Centre-Nord,+226 74 94 45 75 29,,2022-04-08,Standard,Comptant,250000
19,SARL o,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 70 68 83 51 96,,2023-08-24,Standard,Comptant,500000
20,Menage 00020,Particulier,Koudougou,Centre-Ouest,+226 70 14 58 50 73,,2021-12-02,Argent,Comptant,0
21,Societe g,Entreprise,Ouagadougou,Centre,+226 73 73 61 90 93,contact21@gmail.com,2024-04-17,Standard,Comptant,0
22,Menage 00022,Particulier,Ziniaré,Plateau-Central,+226 78 31 84 78 98,,2018-10-10,Standard,30 j,0
23,Menage 00023,Particulier,Ziniaré,Plateau-Central,+226 77 15 13 90 81,,2021-09-24,Argent,Comptant,0
24,Ets b,Professionnel,Ziniaré,Plateau-Central,+226 73 94 47 21 28,contact24@gmail.com,2017-07-08,Or,30 j,0
25,Societe o,Entreprise,Ouagadougou,Centre,+226 70 72 40 40 58,,2019-10-31,Argent,Comptant,0
