n_ticket;date;heure;magasin;vendeur;client;produit;categorie;quantite;prix_unitaire_ht;remise;montant_ht;montant_ttc
T05-250101-075845;2025-01-01;11:01;Magasin 5 — Kaya Marché;Moussa Ilboudo;10857;Plâtre de construction 25 kg — réf 1;Matériaux;11;4500;0.03;48015;56658
T05-250101-075846;2025-01-01;09:32;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Gravier 15/25 (m3) — réf 2;Matériaux;2;21950;0.0;43900;51802
T05-250101-075847;2025-01-01;07:51;Magasin 5 — Kaya Marché;Salamatu Sankara;17552;Sable de rivière (m3) — réf 1;Matériaux;2;25775;0.04;49488;58396
T05-250101-075848;2025-01-01;15:17;Magasin 5 — Kaya Marché;Adama Bationo;2150;Échelle aluminium 4 marches — réf 1;Consommables;6;8275;0.0;49650;58587
T05-250101-075849;2025-01-01;10:33;Magasin 5 — Kaya Marché;Adama Bationo;0;Sable de rivière (m3) — réf 1;Matériaux;3;26325;0.0;78975;93191
T05-250101-075850;2025-01-01;18:08;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Ciment CPJ45 50 kg — réf 2;Matériaux;12;6550;0.0;78600;92748
T05-250101-075851;2025-01-01;13:22;Magasin 5 — Kaya Marché;Adama Bationo;10176;Hourdis creux 12 — réf 1;Matériaux;6;1025;0.0;6150;7257
T05-250101-075852;2025-01-01;08:17;Magasin 5 — Kaya Marché;Boureima Ouédraogo;11417;Meuleuse 125 mm — réf 2;Quincaillerie;9;5850;0.0;52650;62127
T05-250101-075853;2025-01-01;16:15;Magasin 5 — Kaya Marché;Salamatu Sankara;1519;Fil de fer recuit (kg) — réf 2;Quincaillerie;3;2000;0.04;5760;6797
T05-250101-075854;2025-01-01;08:21;Magasin 5 — Kaya Marché;Salamatu Sankara;6969;Casque de chantier — réf 1;Consommables;2;8300;0.0;16600;19588
T05-250101-075855;2025-01-01;15:35;Magasin 5 — Kaya Marché;Boureima Ouédraogo;17857;Sac de transport 100 kg — réf 1;Consommables;2;8525;0.07;15856;18710
T05-250101-075856;2025-01-01;07:27;Magasin 5 — Kaya Marché;Boureima Ouédraogo;17861;Hourdis creux 12 — réf 1;Matériaux;8;1075;0.0;8600;10148
T05-250101-075857;2025-01-01;18:25;Magasin 5 — Kaya Marché;Boureima Ouédraogo;19433;Coude PVC 90° 100 — réf 1;Plomberie;4;4075;0.03;15811;18657
T05-250101-075858;2025-01-01;12:00;Magasin 5 — Kaya Marché;Adama Bationo;0;Raccord laiton 20/27 — réf 2;Plomberie;3;4550;0.0;13650;16107
T05-250101-075859;2025-01-01;13:13;Magasin 5 — Kaya Marché;Adama Bationo;4654;Gravier 15/25 (m3) — réf 2;Matériaux;5;21450;0.0;107250;126555
T05-250101-075860;2025-01-01;12:47;Magasin 5 — Kaya Marché;Adama Bationo;125;Pince coupante 200 mm — réf 1;Quincaillerie;2;5325;0.0;10650;12567
T05-250101-075861;2025-01-01;17:29;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Perforateur 800 W — réf 2;Quincaillerie;4;5750;0.0;23000;27140
T05-250101-075862;2025-01-01;12:29;Magasin 5 — Kaya Marché;Adama Bationo;21135;Chasse d'eau 6 L — réf 2;Plomberie;1;19925;0.0;19925;23511
T05-250101-075863;2025-01-01;08:54;Magasin 5 — Kaya Marché;Adama Bationo;20824;Régulateur de charge 10 A — réf 2;Electricité;4;11625;0.0;46500;54870
T05-250101-075864;2025-01-01;16:58;Magasin 5 — Kaya Marché;Salamatu Sankara;;Colle à carrelage 25 kg — réf 2;Matériaux;14;4450;0.0;62300;73514
T05-250101-075865;2025-01-01;08:16;Magasin 5 — Kaya Marché;Adama Bationo;;Ballon d'eau chaude 50 L — réf 1;Plomberie;2;34025;0.0;68050;80299
T05-250102-075995;2025-01-02;16:16;Magasin 5 — Kaya Marché;Boureima Ouédraogo;20631;Sable de rivière (m3) — réf 2;Matériaux;4;27050;0.0;108200;127676
T05-250102-075996;2025-01-02;11:23;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Brique de terre cuite — réf 2;Matériaux;7;700;0.0;4900;5782
T05-250102-075997;2025-01-02;09:31;Magasin 5 — Kaya Marché;Boureima Ouédraogo;16066;Ciment CPJ45 50 kg — réf 1;Matériaux;12;6100;0.0;73200;86376
T05-250102-075998;2025-01-02;08:17;Magasin 5 — Kaya Marché;Adama Bationo;17124;Hourdis creux 12 — réf 1;Matériaux;6;1075;0.08;5934;7002
T05-250102-075999;2025-01-02;17:27;Magasin 5 — Kaya Marché;Adama Bationo;8234;Casque de chantier — réf 2;Consommables;27;5400;0.0;145800;172044
T05-250102-076000;2025-01-02;08:18;Magasin 5 — Kaya Marché;Boureima Ouédraogo;5812;Tableau 18 modules — réf 1;Electricité;25;8700;0.08;200100;236118
T05-250102-076001;2025-01-02;07:43;Magasin 5 — Kaya Marché;Moussa Ilboudo;9745;Pavé autobloquant — réf 2;Matériaux;3;675;0.0;2025;2389
T05-250102-076002;2025-01-02;10:32;Magasin 5 — Kaya Marché;Salamatu Sankara;21264;Mètre ruban 5 m — réf 1;Quincaillerie;12;7475;0.04;86112;101612
T05-250102-076003;2025-01-02;10:37;Magasin 5 — Kaya Marché;Boureima Ouédraogo;20263;Ciment CPJ45 50 kg — réf 1;Matériaux;1;6100;0.0;6100;7198
T05-250102-076004;2025-01-02;07:12;Magasin 5 — Kaya Marché;Salamatu Sankara;;Tube PVC évacuation 100 mm (ml) — réf 1;Plomberie;5;3500;0.0;17500;20650
T05-250102-076005;2025-01-02;08:40;Magasin 5 — Kaya Marché;Boureima Ouédraogo;16610;Peinture glycéro 1 L — réf 2;Peinture;17;3925;0.0;66725;78735
T05-250102-076006;2025-01-02;12:58;Magasin 5 — Kaya Marché;Boureima Ouédraogo;;Colle à carrelage 25 kg — réf 2;Matériaux;5;4300;0.04;20640;24355
T05-250102-076007;2025-01-02;18:53;Magasin 5 — Kaya Marché;Adama Bationo;2691;Raccord laiton 20/27 — réf 2;Plomberie;4;4825;0.04;18528;21863
T05-250102-076008;2025-01-02;14:52;Magasin 5 — Kaya Marché;Salamatu Sankara;16233;Pelle carrée — réf 2;Consommables;2;5100;0.0;10200;12036
T05-250102-076009;2025-01-02;16:14;Magasin 5 — Kaya Marché;Boureima Ouédraogo;2178;Sac de transport 100 kg — réf 1;Consommables;2;8775;0.04;16848;19881
T05-250102-076010;2025-01-02;12:34;Magasin 5 — Kaya Marché;Salamatu Sankara;12170;Brique de terre cuite — réf 2;Matériaux;2;675;0.0;1350;1593
T05-250102-076011;2025-01-02;18:01;Magasin 5 — Kaya Marché;Moussa Ilboudo;2474;Tout-venant (m3) — réf 1;Matériaux;4;16375;0.04;62880;74198
T05-250102-076012;2025-01-02;13:31;Magasin 5 — Kaya Marché;Adama Bationo;4653;Parpaing 15 aggloméré — réf 2;Matériaux;5;1400;0.0;7000;8260
T05-250102-076013;2025-01-02;12:57;Magasin 5 — Kaya Marché;Salamatu Sankara;7529;Régulateur de charge 10 A — réf 1;Electricité;3;21675;0.03;63074;74427
T05-250201-079456;2025-02-01;13:52;Magasin 5 — Kaya Marché;Boureima Ouédraogo;3742;Té fonte 100 — réf 1;Plomberie;1;3150;0.04;3024;3568
T05-250201-079457;2025-02-01;09:27;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Peinture glycéro 1 L — réf 1;Peinture;21;3300;0.0;69300;81774
T05-250201-079458;2025-02-01;18:28;Magasin 5 — Kaya Marché;Salamatu Sankara;21909;Carreau de pavement 40x40 — réf 1;Matériaux;4;1025;0.0;4100;4838
T05-250201-079459;2025-02-01;16:55;Magasin 5 — Kaya Marché;Moussa Ilboudo;21680;Lampe solaire murale — réf 1;Electricité;5;10525;0.03;51046;60234
T05-250201-079460;2025-02-01;18:22;Magasin 5 — Kaya Marché;Salamatu Sankara;1519;Colle à carrelage 25 kg — réf 1;Matériaux;8;6100;0.04;46848;55281
T05-250201-079461;2025-02-01;14:19;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Mastic d'étanchéité — réf 1;Plomberie;4;3450;0.0;13800;16284
T05-250201-079462;2025-02-01;10:15;Magasin 5 — Kaya Marché;Moussa Ilboudo;19183;Pointe 100 mm (kg) — réf 1;Quincaillerie;3;2450;0.03;7130;8413
T05-250201-079463;2025-02-01;15:49;Magasin 5 — Kaya Marché;Boureima Ouédraogo;20154;Ciment CPJ45 50 kg — réf 2;Matériaux;6;6600;0.0;39600;46728
T05-250201-079464;2025-02-01;09:01;Magasin 5 — Kaya Marché;Adama Bationo;4280;Fil de fer recuit (kg) — réf 1;Quincaillerie;5;1650;0.0;8250;9735
T05-250201-079465;2025-02-01;11:19;Magasin 5 — Kaya Marché;Moussa Ilboudo;9701;Passe-câble étanche — réf 2;Electricité;2;16425;0.08;30222;35662
T05-250201-079466;2025-02-01;17:52;Magasin 5 — Kaya Marché;Boureima Ouédraogo;20964;Peinture toiture 25 kg — réf 2;Peinture;29;6150;0.04;171216;202035
T05-250201-079467;2025-02-01;09:28;Magasin 5 — Kaya Marché;Salamatu Sankara;22552;Chaux aérienne 25 kg — réf 1;Matériaux;1;5150;0.04;4944;5834
T05-250202-079524;2025-02-02;08:49;Magasin 5 — Kaya Marché;Moussa Ilboudo;10729;Plâtre de construction 25 kg — réf 1;Matériaux;17;4325;0.0;73525;86759
T05-250202-079524;2025-02-02;16:22;Magasin 5 — Kaya Marché;Salamatu Sankara;15215;Régulateur de charge 10 A — réf 1;Electricité;48;22425;0.04;1033344;1219346
T05-250202-079525;2025-02-02;09:30;Magasin 5 — Kaya Marché;Boureima Ouédraogo;22946;Pelle carrée — réf 2;Consommables;1;5125;0.04;4920;5806
T05-250202-079525;2025-02-02;18:51;Magasin 5 — Kaya Marché;Adama Bationo;16478;Sable de rivière (m3) — réf 1;Matériaux;2;25625;0.0;51250;60475
T05-250202-079526;2025-02-02;10:35;Magasin 5 — Kaya Marché;Boureima Ouédraogo;22297;WC complet avec abattant — réf 1;Plomberie;2;26300;0.0;52600;62068
T05-250202-079526;2025-02-02;12:36;Magasin 5 — Kaya Marché;Boureima Ouédraogo;7108;Marteau de menuisier — réf 1;Quincaillerie;8;9550;0.0;76400;90152
T05-250202-079527;2025-02-02;16:27;Magasin 5 — Kaya Marché;Moussa Ilboudo;10601;Niveau à bulle 600 mm — réf 1;Quincaillerie;13;8900;0.0;115700;136526
T05-250202-079527;2025-02-02;16:17;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Chaux aérienne 25 kg — réf 1;Matériaux;8;5075;0.0;40600;47908
T05-250202-079528;2025-02-02;11:04;Magasin 5 — Kaya Marché;Boureima Ouédraogo;16696;Douille E27 avec cordon — réf 1;Electricité;14;11975;0.08;154238;182001
T05-250202-079528;2025-02-02;10:49;Magasin 5 — Kaya Marché;Adama Bationo;0;Régulateur de charge 10 A — réf 1;Electricité;2;21875;0.0;43750;51625
T05-250203-079672;2025-02-03;07:21;Magasin 5 — Kaya Marché;Adama Bationo;7419;Lampe solaire murale — réf 1;Electricité;1;10300;0.0;10300;12154
T05-250203-079673;2025-02-03;17:46;Magasin 5 — Kaya Marché;Boureima Ouédraogo;13264;Pavé autobloquant — réf 1;Matériaux;2;1125;0.0;2250;2655
T05-250203-079674;2025-02-03;13:12;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Robinet mitigeur évier — réf 2;Plomberie;25;34800;0.0;870000;1026600
T05-250203-079675;2025-02-03;10:37;Magasin 5 — Kaya Marché;Adama Bationo;17377;Lunettes de protection — réf 2;Consommables;2;4900;0.0;9800;11564
T05-250203-079676;2025-02-03;17:59;Magasin 5 — Kaya Marché;Boureima Ouédraogo;11559;Vernis marin 1 L — réf 1;Peinture;9;5600;0.0;50400;59472
T05-250203-079677;2025-02-03;08:52;Magasin 5 — Kaya Marché;Boureima Ouédraogo;4982;Lame de lambris 4 m — réf 1;Bois & panneaux;9;10700;0.0;96300;113634
T05-250203-079678;2025-02-03;09:38;Magasin 5 — Kaya Marché;Salamatu Sankara;12648;Écrou hexagonal 10 (sachet) — réf 1;Quincaillerie;16;1450;0.0;23200;27376
T05-250203-079679;2025-02-03;14:03;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Brouette en kit — réf 2;Consommables;5;9250;0.0;46250;54575
T05-250203-079680;2025-02-03;13:49;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Tout-venant (m3) — réf 1;Matériaux;2;16300;0.0;32600;38468
T05-250203-079681;2025-02-03;07:33;Magasin 5 — Kaya Marché;Salamatu Sankara;23278;Antirouille rouge brique 1 L — réf 2;Peinture;3;6800;0.03;19788;23350
T05-250203-079682;2025-02-03;16:45;Magasin 5 — Kaya Marché;Moussa Ilboudo;;Gants anti-coupure (paire) — réf 1;Consommables;6;8925;0.0;53550;63189
T05-250203-079683;2025-02-03;10:30;Magasin 5 — Kaya Marché;Salamatu Sankara;9467;Clé plate 13 — réf 1;Quincaillerie;3;9725;0.0;29175;34427
T05-250203-079684;2025-02-03;11:32;Magasin 5 — Kaya Marché;Salamatu Sankara;11926;Brique de terre cuite — réf 1;Matériaux;4;1050;0.04;4032;4758
T05-250203-079685;2025-02-03;15:11;Magasin 5 — Kaya Marché;Salamatu Sankara;756;Carreau de pavement 40x40 — réf 1;Matériaux;5;1075;0.0;5375;6343
T05-250203-079686;2025-02-03;14:03;Magasin 5 — Kaya Marché;Moussa Ilboudo;5532;Vernis marin 1 L — réf 1;Peinture;6;5800;0.0;34800;41064
T05-250203-079687;2025-02-03;18:08;Magasin 5 — Kaya Marché;Adama Bationo;22119;Bêche à manche bois — réf 1;Consommables;4;5175;0.0;20700;24426
T05-250203-079688;2025-02-03;17:18;Magasin 5 — Kaya Marché;Adama Bationo;10043;Gravier 15/25 (m3) — réf 1;Matériaux;2;31200;0.08;57408;67741
T05-250203-079689;2025-02-03;09:39;Magasin 5 — Kaya Marché;Boureima Ouédraogo;14715;Robinet mitigeur évier — réf 2;Plomberie;5;36200;0.04;173760;205037
