id_client,nom,type_client,ville,region,telephone,email,date_creation,segment,conditions_paiement,plafond_credit
25,Societe o,Entreprise,Ouagadougou,Centre,+226 70 72 40 40 58,,2019-10-31,Argent,Comptant,0
94,Menage 00094,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 78 13 95 69 34,,2024-03-30,Standard,Comptant,0
189,Menage 00189,Particulier,Ouagadougou,Centre,+226 75 57 88 13 18,,2024-07-30,Argent,Comptant,5000000
425,Societe o,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 72 43 51 76 35,contact425@outlook.fr,2020-07-15,Argent,Comptant,500000
447,Societe g,Entreprise,Ouagadougou,Centre,+226 70 56 11 65 77,contact447@outlook.fr,2022-05-29,Standard,Comptant,0
454,SARL t,Professionnel,Koudougou,Centre-Ouest,+226 78 76 20 40 28,,2022-12-24,Standard,Comptant,250000
873,Menage 00873,Particulier,Kaya,Centre-Nord,+226 77 47 22 96 44,,2018-07-05,Standard,60 j,0
926,Menage 00926,Particulier,Ouagadougou,Centre,+226 77 11 70 52 82,,2023-05-30,Standard,60 j,1500000
1105,Ets N,Administration,Ouagadougou,Centre,+226 78 23 56 18 57,,2022-02-27,Standard,60 j,250000
1475,Menage 01475,Particulier,Koudougou,Centre-Ouest,+226 70 50 16 41 87,,2016-04-26,Standard,Comptant,0
1606,SARL T,Administration,Ouagadougou,Centre,+226 70 93 71 52 11,,2023-03-17,Standard,30 j,250000
1833,Menage 01833,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 72 73 73 70 14,,2017-01-11,Standard,Comptant,250000
1945,Menage 01945,Particulier,Ouagadougou,Centre,+226 75 56 52 33 49,,2025-12-31,Standard,Comptant,0
2188,Chantiers n,Professionnel,Kaya,Centre-Nord,+226 71 37 26 39 20,,2017-11-20,Argent,60 j,250000
2382,Menage 02382,Particulier,Koudougou,Centre-Ouest,+226 77 65 57 38 46,,2021-02-24,Or,Comptant,0
2407,SARL o,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 77 38 50 91 19,contact2407@yahoo.fr,2025-08-26,Argent,30 j,500000
2533,SARL é,Professionnel,Ziniaré,Plateau-Central,+226 74 49 81 62 86,contact2533@outlook.fr,2026-01-04,Argent,30 j,1500000
2764,Menage 02764,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 79 26 57 66 41,,2018-10-28,Argent,Comptant,500000
3041,Menage 03041,Particulier,Kaya,Centre-Nord,+226 72 78 38 30 62,,2022-12-30,Argent,30 j,1500000
3230,Menage 03230,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 71 36 49 75 39,,2022-04-27,Argent,60 j,0
3518,Menage 03518,Particulier,Ouagadougou,Centre,+226 75 40 94 81 32,,2022-09-20,Or,30 j,250000
3591,Menage 03591,Particulier,Ziniaré,Plateau-Central,+226 72 87 22 62 82,,2023-12-26,Standard,30 j,0
3624,Menage 03624,Particulier,Ouagadougou,Centre,+226 78 15 59 86 88,,2025-10-07,Or,Comptant,0
3665,Societe o,Professionnel,Ziniaré,Plateau-Central,+226 74 63 80 37 19,contact3665@yahoo.fr,2020-06-12,Standard,Comptant,250000
3700,Ets o,Professionnel,Ziniaré,Plateau-Central,+226 73 78 13 23 58,,2023-11-15,Argent,30 j,1500000
3856,Menage 03856,Particulier,Ouagadougou,Centre,+226 77 68 33 56 24,,2016-05-05,Argent,60 j,500000
4357,Menage 04357,Particulier,Koudougou,Centre-Ouest,+226 72 92 57 57 66,,2018-10-04,Standard,30 j,250000
5048,Menage 05048,Particulier,Ouagadougou,Centre,+226 76 98 91 18 65,,2023-07-29,Or,Comptant,0
5073,Menage 05073,Particulier,Ouagadougou,Centre,+226 71 69 41 46 73,,2021-02-13,Argent,Comptant,1500000
5322,SARL i,Entreprise,Kaya,Centre-Nord,+226 72 37 77 50 19,contact5322@outlook.fr,2019-06-06,Argent,30 j,1500000
5544,Menage 05544,Particulier,Ouagadougou,Centre,+226 73 30 57 91 63,,2021-01-05,Standard,30 j,500000
5710,Ets é,Professionnel,Koudougou,Centre-Ouest,+226 73 55 15 58 49,,2020-04-06,Standard,Comptant,500000
5780,Chantiers t,Professionnel,Kaya,Centre-Nord,+226 74 30 71 59 28,contact5780@yahoo.fr,2020-01-10,Standard,Comptant,0
5977,Societe u,Professionnel,Ziniaré,Plateau-Central,+226 71 46 42 97 66,contact5977@outlook.fr,2022-06-25,Argent,Comptant,500000
6161,Ets a,Professionnel,Ouagadougou,Centre,+226 72 49 59 98 78,,2018-04-08,Argent,30 j,0
6389,Societe a,Professionnel,Ouagadougou,Centre,+226 74 86 45 12 52,contact6389@entreprise.bf,2022-04-03,Standard,60 j,500000
6769,SARL O,Administration,Koudougou,Centre-Ouest,+226 75 81 62 95 42,,2023-12-01,Or,30 j,500000
6829,SARL K,Professionnel,Ouagadougou,Centre,+226 77 39 21 60 92,contact6829@entreprise.bf,2017-10-21,Standard,Comptant,0
6836,Menage 06836,Particulier,Ouagadougou,Centre,+226 75 24 12 67 62,,2021-08-31,Argent,Comptant,500000
6941,Menage 06941,Particulier,Ziniaré,Plateau-Central,+226 74 88 13 51 43,,2021-04-19,Standard,Comptant,5000000
7093,Societe i,Professionnel,Ouagadougou,Centre,+226 78 81 21 20 73,contact7093@outlook.fr,2024-02-12,Standard,Comptant,0
