tx_ref,agent_code,client_phone,montant_xof,type_op,statut,date_op,commission,canal,id_export
TX0000001,AG01,776 24 75 042,1513,out,echec,2026-01-01,15.0,USSD,1
TX0000002,AG19,+226 757 22 91 954,3369,out,ok,2026-01-01,34.0,app,2
TX0000003,AG13,7453986732,-1817,in,REUSSI,2026-01-01,59.0,USSD,3
TX0000004,AG05,+226 748 73 47 151,907,in,OK,2026-01-01,23.0,USSD,4
TX0000005,AG03,741 71 48 406,1000000000,in,Reussie,2026-01-01,83.0,USSD,5
TX0000006,AG11,7998804116,4322,in,ok,2026-01-01,108.0,USSD,6
TX0000007,AG16,713 54 48 267,1458,in,REUSSI,2026-01-01,36.0,USSD,7
TX0000008,AG10,701 16 98 827,-4555,out,Reussie,2026-01-01,2.0,Agent,8
TX0000009,AG17,+226 753 84 03 128,-3274,out,ok,2026-01-01,64.0,Agent,9
TX0000010,AG17,+226 769 75 56 536,-685,out,REUSSI,2026-01-01,22.0,USSD,10
TX0000011,AG19,742 67 19 011,1000000000,in,echec,2026-01-01,63.0,USSD,11
TX0000012,AG17,+226 734 76 92 797,-2927,in,Reussie,2026-01-01,59.0,USSD,12
TX0000013,AG15,7711915985,7549,in,Reussie,2026-01-01,189.0,Agent,13
TX0000014,AG04,+226 776 77 99 744,2081,out,echec,2026-01-01,21.0,Agent,14
TX0000015,AG20,7240762321,2638,in,Echouee,2026-01-01,66.0,USSD,15
TX0000016,AG04,7810043415,3827,out,REUSSI,2026-01-01,38.0,USSD,16
TX0000017,AG01,7389232947,2593,in,OK,2026-01-01,65.0,Agent,17
TX0000018,AG16,745 20 57 517,3264,in,echec,2026-01-01,82.0,app,18
TX0000019,AG14,758 94 76 037,4005,in,Reussie,2026-01-01,100.0,USSD,19
TX0000020,AG13,+226 787 90 17 991,1148,in,ok,2026-01-01,29.0,USSD,20
TX0000021,AG17,7143976945,7319,out,ok,2026-01-01,73.0,Agent,21
TX0000022,AG10,+226 709 76 88 374,8794,in,Echouee,2026-01-01,220.0,USSD,22
TX0000023,AG11,7811395357,685,out,OK,2026-01-01,7.0,Agent,23
TX0000024,AG16,736 84 65 148,5847,in,OK,2026-01-01,146.0,USSD,24
TX0000025,AG12,+226 706 99 72 921,3935,in,OK,2026-01-01,98.0,Agent,25
TX0000026,AG03,+226 791 49 02 654,1602,in,echec,2026-01-01,40.0,Agent,26
TX0000027,AG13,771 26 94 603,3442,in,echec,2026-01-01,86.0,Agent,27
TX0000028,AG01,764 18 42 703,6138,out,ok,2026-01-01,61.0,Agent,28
TX0000029,AG08,+226 766 34 28 103,1711,in,OK,2026-01-01,43.0,app,29
TX0000030,AG14,722 46 15 010,1785,out,ok,2026-01-01,18.0,Agent,30
TX0000031,AG15,+226 725 85 49 809,2182,out,REUSSI,2026-01-01,22.0,Agent,31
TX0000032,AG03,+226 760 37 91 399,6084,in,echec,2026-01-01,152.0,USSD,32
TX0000033,AG12,775 61 76 352,6414,out,REUSSI,2026-01-01,64.0,Agent,33
TX0000034,AG12,+226 742 52 93 564,2914,in,ok,2026-01-01,73.0,Agent,34
TX0000035,AG11,796 89 94 448,507,in,Echouee,2026-01-01,13.0,USSD,35
TX0000036,AG02,+226 783 74 28 487,3866,in,ok,2026-01-01,97.0,Agent,36
TX0000037,AG18,7957546961,6970,in,OK,2026-01-01,174.0,USSD,37
TX0000038,AG17,+226 751 06 83 571,7493,in,ok,2026-01-01,187.0,Agent,38
TX0000039,AG20,733 20 17 101,7841,in,REUSSI,2026-01-01,196.0,app,39
TX0000040,AG07,770 74 17 990,186,out,REUSSI,2026-01-01,2.0,app,40
TX0000041,AG18,770 87 59 270,7081,in,Reussie,2026-01-01,177.0,Agent,41
TX0000042,AG13,+226 760 57 58 068,7667,in,OK,2026-01-01,192.0,USSD,42
TX0000043,AG02,7102110326,2834,out,ok,2026-01-01,28.0,USSD,43
TX0000044,AG10,7818122627,6018,in,ok,2026-01-01,150.0,USSD,44
TX0000045,AG05,786 80 37 850,2310,in,ok,2026-01-01,58.0,Agent,45
TX0000046,AG15,+226 743 62 57 416,458,out,echec,2026-01-01,5.0,USSD,46
TX0000047,AG06,7443323953,8359,out,REUSSI,2026-01-01,84.0,Agent,47
TX0000048,AG16,724 42 57 044,1359,out,OK,2026-01-01,14.0,USSD,48
TX0000049,AG11,+226 747 03 75 328,1426,out,Reussie,2026-01-01,14.0,Agent,49
TX0000050,AG05,+226 732 95 38 032,735,in,OK,2026-01-01,18.0,USSD,50
TX0000051,AG04,7543249896,8285,in,ok,2026-01-01,207.0,Agent,51
TX0000052,AG13,+226 798 22 73 283,2560,in,echec,2026-01-01,64.0,USSD,52
TX0000053,AG19,+226 727 96 90 348,2198,out,echec,2026-01-01,22.0,USSD,53
TX0000054,AG03,+226 772 34 61 734,662,out,REUSSI,2026-01-01,7.0,Agent,54
TX0000055,AG13,7186816222,2202,out,Reussie,2026-01-01,22.0,Agent,55
TX0000056,AG16,7710691002,2863,out,Echouee,2026-01-01,29.0,Agent,56
TX0000057,AG05,748 80 02 886,7628,in,OK,2026-01-01,191.0,Agent,57
TX0000058,AG16,7996442082,858,in,OK,2026-01-01,21.0,USSD,58
TX0000059,AG01,761 29 32 410,801,out,ok,2026-01-01,8.0,USSD,59
TX0000060,AG06,+226 705 29 46 560,418,out,ok,2026-01-02,4.0,Agent,60
TX0000061,AG02,+226 737 77 84 967,894,in,OK,2026-01-02,22.0,USSD,61
TX0000062,AG16,+226 730 17 75 078,671,in,ok,2026-01-02,17.0,USSD,62
TX0000063,AG20,+226 721 69 51 259,1202,out,Echouee,2026-01-02,12.0,Agent,63
TX0000064,AG19,+226 738 34 85 923,2940,out,REUSSI,2026-01-02,29.0,Agent,64
TX0000065,AG07,7922729595,8228,in,ok,2026-01-02,206.0,USSD,65
TX0000066,AG17,+226 700 15 29 597,642,out,OK,2026-01-02,6.0,USSD,66
TX0000067,AG02,7434382302,5630,in,echec,2026-01-02,141.0,Agent,67
TX0000068,AG14,+226 779 27 20 876,1208,out,ok,2026-01-02,12.0,Agent,68
TX0000069,AG08,7599662799,2272,out,Echouee,2026-01-02,23.0,USSD,69
TX0000070,AG16,722 56 91 991,4064,in,Echouee,2026-01-02,102.0,Agent,70
TX0000071,AG05,+226 755 02 45 900,4529,in,OK,2026-01-02,113.0,Agent,71
